2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [3] ./monero-wallet-rpc:void boost::archive::detail::load_array_type<boost::archive::portable_binary_iarchive>::invoke<char [32]>(boost::archive::portable_binary_iarchive&, char (&) [32])+0xa5 [0x813cf5]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [4] ./monero-wallet-rpc:boost::archive::detail::basic_iarchive::load_object(void*, boost::archive::detail::basic_iserializer const&)+0x198 [0x9acca8]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [5] ./monero-wallet-rpc:boost::archive::detail::iserializer<boost::archive::portable_binary_iarchive, std::vector<crypto::hash, std::allocator<crypto::hash> > >::load_object_data(boost::archive::detail::basic_iarchive&, void*, unsigned int) const+0x90 [0x806b30]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [6] ./monero-wallet-rpc:boost::archive::detail::basic_iarchive::load_object(void*, boost::archive::detail::basic_iserializer const&)+0x198 [0x9acca8]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [7] ./monero-wallet-rpc:void tools::wallet2::serialize<boost::archive::portable_binary_iarchive>(boost::archive::portable_binary_iarchive&, unsigned int)+0x7d [0x7ff75d]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [8] ./monero-wallet-rpc:boost::archive::detail::basic_iarchive::load_object(void*, boost::archive::detail::basic_iserializer const&)+0x198 [0x9acca8]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [9] ./monero-wallet-rpc:tools::wallet2::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0x98c [0x75c54c]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [10] ./monero-wallet-rpc:tools::wallet2::make_from_file(boost::program_options::variables_map const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0xf5 [0x75d535]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [11] ./monero-wallet-rpc:main+0xfc3 [0x6a2ff3]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [12] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7fa09e11e830]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [13] ./monero-wallet-rpc:_start+0x29 [0x6abeb9]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	
2018-03-24 11:09:48.455	    7fa09ee08740	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:2542	Failed to open portable binary, trying unportable
2018-03-24 11:09:49.004	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Exception: boost::archive::archive_exception
2018-03-24 11:09:49.005	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:121	Unwound call stack:
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [1] ./monero-wallet-rpc:__wrap___cxa_throw+0x102 [0x87f762]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [2] ./monero-wallet-rpc() [0x7ae149]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [3] ./monero-wallet-rpc:boost::archive::basic_binary_iprimitive<boost::archive::binary_iarchive, char, std::char_traits<char> >::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)+0xcd [0x9afa5d]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [4] ./monero-wallet-rpc:boost::archive::basic_binary_iarchive<boost::archive::binary_iarchive>::init()+0x47 [0x9afbc7]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [5] ./monero-wallet-rpc:boost::archive::binary_iarchive_impl<boost::archive::binary_iarchive, char, std::char_traits<char> >::binary_iarchive_impl(std::istream&, unsigned int)+0xf8 [0x7ceec8]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [6] ./monero-wallet-rpc:tools::wallet2::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0x131a [0x75ceda]
2018-03-24 11:09:49.033	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [7] ./monero-wallet-rpc:tools::wallet2::make_from_file(boost::program_options::variables_map const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0xf5 [0x75d535]
